video_name,sample_number,source_frame_number,timestamp_seconds,roll_number,confidence,status
test_video.mp4,20,1710,57.004,Unknown,0.121829,unknown
test_video.mp4,21,1800,60.004,22102039,0.971654,recognized
test_video.mp4,21,1800,60.004,22102037,0.821361,recognized
test_video.mp4,21,1800,60.004,22102038,0.908741,recognized
test_video.mp4,21,1800,60.004,22102040,0.783849,recognized
test_video.mp4,21,1800,60.004,22102004,0.915319,recognized
test_video.mp4,22,1890,63.004,22102038,0.879047,recognized
test_video.mp4,22,1890,63.004,22102037,0.842880,recognized
test_video.mp4,22,1890,63.004,22102004,0.730790,recognized
test_video.mp4,22,1890,63.004,22102039,0.982208,recognized
test_video.mp4,22,1890,63.004,22102040,0.848314,recognized
test_video.mp4,23,1980,66.004,22102038,0.947336,recognized
test_video.mp4,23,1980,66.004,22102040,0.758981,recognized
test_video.mp4,23,1980,66.004,22102039,0.935195,recognized
test_video.mp4,23,1980,66.004,22102004,0.863814,recognized
test_video.mp4,23,1980,66.004,22102037,0.641294,recognized
test_video.mp4,24,2070,69.004,22102039,0.930395,recognized
test_video.mp4,24,2070,69.004,22102038,0.703594,recognized
test_video.mp4,24,2070,69.004,22102004,0.841329,recognized
test_video.mp4,24,2070,69.004,22102040,0.930875,recognized
test_video.mp4,24,2070,69.004,22102037,0.790476,recognized
test_video.mp4,25,2160,72.005,22102037,0.946915,recognized
test_video.mp4,25,2160,72.005,22102038,0.892097,recognized
test_video.mp4,25,2160,72.005,22102039,0.951008,recognized
test_video.mp4,25,2160,72.005,22102004,0.734836,recognized
test_video.mp4,25,2160,72.005,22102040,0.703124,recognized
test_video.mp4,25,2160,72.005,Unknown,0.496828,unknown
test_video.mp4,26,2250,75.005,22102039,0.971287,recognized
test_video.mp4,26,2250,75.005,22102038,0.911100,recognized
test_video.mp4,26,2250,75.005,22102040,0.861155,recognized
test_video.mp4,26,2250,75.005,22102004,0.927993,recognized
test_video.mp4,26,2250,75.005,22102037,0.767643,recognized
test_video_02.mp4,1,0,0.000,22102037,0.891034,recognized
test_video_02.mp4,1,0,0.000,22102004,0.868744,recognized
test_video_02.mp4,1,0,0.000,22102040,0.869063,recognized
test_video_02.mp4,1,0,0.000,22102039,0.980777,recognized
test_video_02.mp4,1,0,0.000,Unknown,0.388705,unknown
test_video_02.mp4,2,90,3.000,22102004,0.918762,recognized
test_video_02.mp4,2,90,3.000,22102039,0.988152,recognized
test_video_02.mp4,2,90,3.000,22102037,0.771891,recognized
test_video_02.mp4,2,90,3.000,22102040,0.804030,recognized
test_video_02.mp4,2,90,3.000,Unknown,0.172717,unknown
test_video_02.mp4,3,180,6.000,22102039,0.970274,recognized
test_video_02.mp4,3,180,6.000,22102037,0.795677,recognized
test_video_02.mp4,3,180,6.000,Unknown,0.527038,unknown
test_video_02.mp4,3,180,6.000,22102004,0.831909,recognized
test_video_02.mp4,4,270,9.000,22102039,0.967650,recognized
test_video_02.mp4,4,270,9.000,22102037,0.909963,recognized
test_video_02.mp4,4,270,9.000,22102040,0.672105,recognized
test_video_02.mp4,4,270,9.000,Unknown,0.473125,unknown
test_video_02.mp4,4,270,9.000,Unknown,0.253396,unknown
test_video_02.mp4,5,360,12.000,22102037,0.608561,recognized
test_video_02.mp4,5,360,12.000,22102039,0.973167,recognized
test_video_02.mp4,5,360,12.000,22102004,0.866600,recognized
test_video_02.mp4,5,360,12.000,22102040,0.786333,recognized
test_video_02.mp4,6,450,15.000,Unknown,0.427016,unknown
test_video_02.mp4,6,450,15.000,22102040,0.832101,recognized
