roll_number,original_filename,original_path,rejected_path,rejection_reason,face_count,detection_confidence,face_width,face_height,blur_score,brightness_score
22102003,22102003_face_013.jpg,dataset/raw/uncovered/22102003/22102003_face_013.jpg,dataset/rejected/22102003/22102003_face_013.jpg,no_face_detected,0,,,,,
22102003,22102003_face_014.jpg,dataset/raw/uncovered/22102003/22102003_face_014.jpg,dataset/rejected/22102003/22102003_face_014.jpg,face_too_small,1,,,,,
22102003,22102003_face_015.jpg,dataset/raw/uncovered/22102003/22102003_face_015.jpg,dataset/rejected/22102003/22102003_face_015.jpg,no_face_detected,0,,,,,
22102003,22102003_face_016.jpg,dataset/raw/uncovered/22102003/22102003_face_016.jpg,dataset/rejected/22102003/22102003_face_016.jpg,no_face_detected,0,,,,,
22102003,22102003_face_017.jpg,dataset/raw/uncovered/22102003/22102003_face_017.jpg,dataset/rejected/22102003/22102003_face_017.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_018.jpg,dataset/raw/uncovered/22102003/22102003_face_018.jpg,dataset/rejected/22102003/22102003_face_018.jpg,face_too_small,1,,,,,
22102003,22102003_face_019.jpg,dataset/raw/uncovered/22102003/22102003_face_019.jpg,dataset/rejected/22102003/22102003_face_019.jpg,no_face_detected,0,,,,,
22102003,22102003_face_020.jpg,dataset/raw/uncovered/22102003/22102003_face_020.jpg,dataset/rejected/22102003/22102003_face_020.jpg,face_too_small,1,,,,,
22102003,22102003_face_023.jpg,dataset/raw/uncovered/22102003/22102003_face_023.jpg,dataset/rejected/22102003/22102003_face_023.jpg,detection_confidence_below_threshold,2,,,,,
22102003,22102003_face_024.jpg,dataset/raw/uncovered/22102003/22102003_face_024.jpg,dataset/rejected/22102003/22102003_face_024.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_028.jpg,dataset/raw/uncovered/22102003/22102003_face_028.jpg,dataset/rejected/22102003/22102003_face_028.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_035.jpg,dataset/raw/uncovered/22102003/22102003_face_035.jpg,dataset/rejected/22102003/22102003_face_035.jpg,detection_confidence_below_threshold,2,,,,,
22102003,22102003_face_037.jpg,dataset/raw/uncovered/22102003/22102003_face_037.jpg,dataset/rejected/22102003/22102003_face_037.jpg,detection_confidence_below_threshold,2,,,,,
22102003,22102003_face_046.jpg,dataset/raw/uncovered/22102003/22102003_face_046.jpg,dataset/rejected/22102003/22102003_face_046.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_047.jpg,dataset/raw/uncovered/22102003/22102003_face_047.jpg,dataset/rejected/22102003/22102003_face_047.jpg,no_face_detected,0,,,,,
22102003,22102003_face_064.jpg,dataset/raw/uncovered/22102003/22102003_face_064.jpg,dataset/rejected/22102003/22102003_face_064.jpg,no_face_detected,0,,,,,
22102003,22102003_face_065.jpg,dataset/raw/uncovered/22102003/22102003_face_065.jpg,dataset/rejected/22102003/22102003_face_065.jpg,no_face_detected,0,,,,,
22102003,22102003_face_066.jpg,dataset/raw/uncovered/22102003/22102003_face_066.jpg,dataset/rejected/22102003/22102003_face_066.jpg,no_face_detected,0,,,,,
22102003,22102003_face_067.jpg,dataset/raw/uncovered/22102003/22102003_face_067.jpg,dataset/rejected/22102003/22102003_face_067.jpg,no_face_detected,0,,,,,
22102003,22102003_face_068.jpg,dataset/raw/uncovered/22102003/22102003_face_068.jpg,dataset/rejected/22102003/22102003_face_068.jpg,no_face_detected,0,,,,,
22102003,22102003_face_069.jpg,dataset/raw/uncovered/22102003/22102003_face_069.jpg,dataset/rejected/22102003/22102003_face_069.jpg,no_face_detected,0,,,,,
22102003,22102003_face_070.jpg,dataset/raw/uncovered/22102003/22102003_face_070.jpg,dataset/rejected/22102003/22102003_face_070.jpg,no_face_detected,0,,,,,
22102003,22102003_face_082.jpg,dataset/raw/uncovered/22102003/22102003_face_082.jpg,dataset/rejected/22102003/22102003_face_082.jpg,no_face_detected,0,,,,,
22102003,22102003_face_083.jpg,dataset/raw/uncovered/22102003/22102003_face_083.jpg,dataset/rejected/22102003/22102003_face_083.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_085.jpg,dataset/raw/uncovered/22102003/22102003_face_085.jpg,dataset/rejected/22102003/22102003_face_085.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_086.jpg,dataset/raw/uncovered/22102003/22102003_face_086.jpg,dataset/rejected/22102003/22102003_face_086.jpg,no_face_detected,0,,,,,
22102003,22102003_face_089.jpg,dataset/raw/uncovered/22102003/22102003_face_089.jpg,dataset/rejected/22102003/22102003_face_089.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_090.jpg,dataset/raw/uncovered/22102003/22102003_face_090.jpg,dataset/rejected/22102003/22102003_face_090.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_097.jpg,dataset/raw/uncovered/22102003/22102003_face_097.jpg,dataset/rejected/22102003/22102003_face_097.jpg,no_face_detected,0,,,,,
22102003,22102003_face_098.jpg,dataset/raw/uncovered/22102003/22102003_face_098.jpg,dataset/rejected/22102003/22102003_face_098.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_099.jpg,dataset/raw/uncovered/22102003/22102003_face_099.jpg,dataset/rejected/22102003/22102003_face_099.jpg,no_face_detected,0,,,,,
22102003,22102003_face_101.jpg,dataset/raw/uncovered/22102003/22102003_face_101.jpg,dataset/rejected/22102003/22102003_face_101.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_103.jpg,dataset/raw/uncovered/22102003/22102003_face_103.jpg,dataset/rejected/22102003/22102003_face_103.jpg,no_face_detected,0,,,,,
22102003,22102003_face_106.jpg,dataset/raw/uncovered/22102003/22102003_face_106.jpg,dataset/rejected/22102003/22102003_face_106.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_119.jpg,dataset/raw/uncovered/22102003/22102003_face_119.jpg,dataset/rejected/22102003/22102003_face_119.jpg,no_face_detected,0,,,,,
22102003,22102003_face_120.jpg,dataset/raw/uncovered/22102003/22102003_face_120.jpg,dataset/rejected/22102003/22102003_face_120.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_125.jpg,dataset/raw/uncovered/22102003/22102003_face_125.jpg,dataset/rejected/22102003/22102003_face_125.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_128.jpg,dataset/raw/uncovered/22102003/22102003_face_128.jpg,dataset/rejected/22102003/22102003_face_128.jpg,no_face_detected,0,,,,,
22102003,22102003_face_129.jpg,dataset/raw/uncovered/22102003/22102003_face_129.jpg,dataset/rejected/22102003/22102003_face_129.jpg,no_face_detected,0,,,,,
22102003,22102003_face_132.jpg,dataset/raw/uncovered/22102003/22102003_face_132.jpg,dataset/rejected/22102003/22102003_face_132.jpg,no_face_detected,0,,,,,
22102003,22102003_face_137.jpg,dataset/raw/uncovered/22102003/22102003_face_137.jpg,dataset/rejected/22102003/22102003_face_137.jpg,no_face_detected,0,,,,,
22102003,22102003_face_160.jpg,dataset/raw/uncovered/22102003/22102003_face_160.jpg,dataset/rejected/22102003/22102003_face_160.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_161.jpg,dataset/raw/uncovered/22102003/22102003_face_161.jpg,dataset/rejected/22102003/22102003_face_161.jpg,detection_confidence_below_threshold,1,,,,,
22102003,22102003_face_162.jpg,dataset/raw/uncovered/22102003/22102003_face_162.jpg,dataset/rejected/22102003/22102003_face_162.jpg,no_face_detected,0,,,,,
22102003,22102003_face_163.jpg,dataset/raw/uncovered/22102003/22102003_face_163.jpg,dataset/rejected/22102003/22102003_face_163.jpg,no_face_detected,0,,,,,
